Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2020-01-02,208.58021545410156,208.58021545410156,206.47665088627753,206.88192155191777,30969400
2020-01-03,206.66964721679688,207.91442086514243,205.8012121274127,205.82051493847678,27518900
2020-01-06,208.0012664794922,208.03021333492575,204.79769178041784,205.04856943541913,21655300
2020-01-07,207.97230529785156,208.56091585733947,207.31615698824805,208.0784486683733,22139300
2020-01-08,209.5355224609375,210.49081292411944,207.6153122137721,207.94338641269968,26397300
2020-01-09,211.3109893798828,211.71626006069636,210.07587452681383,211.26273971517705,23547000
2020-01-10,210.77061462402344,212.1601225204312,210.3942907957239,212.14083443345314,21898500
2020-01-13,213.20223999023438,213.23118684260552,211.30131815797117,211.639051067274,22756900
2020-01-14,212.36279296875,213.4531736984203,212.03471876249372,213.0961379104521,24418100
2020-01-15,212.44956970214844,213.44345079074003,211.75481587194662,212.47851655142952,25742100
2020-01-16,214.48561096191406,214.52421658207058,213.05751221445357,213.51103254704745,18805000
2020-01-17,215.5470428466797,215.7207239647326,214.33121612538972,215.45054352083037,24325200
2020-01-21,215.45050048828125,215.99086126815791,214.85224601395024,214.94873059679853,21146300
2020-01-22,216.0198516845703,217.25496649446433,215.74967124013912,216.540924487209,20736400
2020-01-23,216.71466064453125,216.81115999507742,214.89093481958486,215.89447505982363,26496100
2020-01-24,214.890869140625,217.95936792059004,213.89698797344954,217.72777838430218,37436500
2020-01-27,210.45220947265625,211.59082505647174,209.56445682161177,210.03728000274077,42264400
2020-01-28,213.68472290039062,214.17684887440697,211.3785302413386,211.9381939679523,26731900
2020-01-29,214.0321044921875,215.1128263468879,213.08647286932467,214.87159273834007,28924500
2020-01-30,214.7943572998047,214.89084188489008,211.9863952638459,212.65220221296266,39568100
2020-01-31,211.38816833496094,215.72071400417116,210.63550602029494,215.6917671524989,52015800
2020-02-03,214.5821075439453,215.0742187666713,212.27591501404694,212.42064927845757,25408600
2020-02-04,219.4936065673828,219.86993035572252,216.77248477190417,217.5154883061186,30691200
2020-02-05,220.2173309326172,222.17614659549554,218.8953755102877,222.13755569776401,38534800
2020-02-06,222.11827087402344,222.17616458717418,219.9857591893376,220.7673537643358,22467100
2020-02-07,221.1629180908203,222.35944181232256,220.52605797822747,221.12432720084237,25884900
2020-02-10,223.83587646484375,223.84552051013273,220.37176484451064,220.429658563711,21478900
2020-02-11,223.87440490722656,225.8139323016973,223.28579438669365,225.07092875721793,30198000
2020-02-12,226.05516052246094,226.16130388344226,224.63670593649616,225.1963695922406,24471300
2020-02-13,225.7656707763672,226.69199942390543,224.21212602340756,224.48230643925024,22773200
2020-02-14,226.4122314453125,226.6245182141058,225.36045636957525,226.12274814934602,23438500
2020-02-18,226.49905395507812,226.92362745880757,225.07095512558615,225.312188732366,24394500
2020-02-19,228.67018127441406,229.14300449564539,227.5798152653745,227.84999575644028,22230500
2020-02-20,226.5472869873047,228.64119277356423,223.74898324361197,228.16838436217873,42604000
2020-02-21,222.19544982910156,225.8042950849523,221.27876508799568,225.41832721198054,66017200
2020-02-24,213.62681579589844,216.38652863409405,212.53643526554671,213.90664027979352,84522600
2020-02-25,207.8179168701172,216.1356614043988,207.21001821068182,215.42160464835848,97743000
2020-02-26,208.88902282714844,212.55577698405872,207.36442450366403,209.11096837002466,79537700
2020-02-27,198.4290771484375,208.83106711043922,198.29398694336194,203.50462596625104,121822600
2020-02-28,198.58346557617188,199.90542074701366,191.22101276021658,191.67453302186976,148173700
2020-03-02,208.83108520507812,208.97583418831206,198.71857758451108,201.55548686063614,112933900
2020-03-03,202.13449096679688,211.90928293854066,200.33971206552008,209.4969464972403,131953500
2020-03-04,210.5679473876953,210.67409074120806,203.9581420685593,205.83977558298787,73086200
2020-03-05,204.1704864501953,208.77322811820233,202.73274347451803,205.23192028515942,78705500
2020-03-06,200.7256622314453,201.8160281142365,195.79484675481234,197.4931260339803,89828400
2020-03-09,186.78240966796875,194.10626022188094,185.37359858242303,186.69555435831464,116424000
2020-03-10,196.95272827148438,197.13606813284002,186.8884564941873,194.0579255521291,100599200
2020-03-11,188.37448120117188,193.71056687159185,185.9717894173901,192.3596646982182,89168800
2020-03-12,171.1021728515625,184.09018147664887,170.7354930723059,175.70489928403467,137820700
2020-03-13,185.59548950195312,187.66044864626937,171.88377914457774,180.51029552625965,134882000
2020-03-16,163.36338806152344,178.20406832166154,163.22829784175232,168.04331081509645,92054400
2020-03-17,175.75315856933594,177.92426106250682,163.82656828456805,169.3170476119838,121257100
2020-03-18,170.4073944091797,172.93551743213698,160.9510358161161,165.59236720199402,114156300
2020-03-19,171.43026733398438,177.0558372532339,165.61171345888428,169.52934518520564,120896500
2020-03-20,164.7142791748047,176.4575276328836,164.13532743920163,175.3671619051533,118983900
2020-03-23,164.83322143554688,168.45943612542942,159.4857499315032,165.27802884131347,124639800
2020-03-24,177.5974884033203,177.76187502662341,172.0759658566118,173.97127383165062,94881800
2020-03-25,176.28237915039062,183.2543727108861,174.03895400550186,178.3323943823647,88754900
2020-03-26,185.5655059814453,186.35844542316946,177.5491597195802,177.80057198507214,79887600
2020-03-27,179.183349609375,184.22136204856727,178.5644762553733,180.75953415255316,58845000
2020-03-30,185.70083618164062,186.13599368038692,180.18899366691895,180.88522795878936,49356900
2020-03-31,184.11505126953125,188.8049627770484,182.95466520476586,185.39148626934968,62659300
2020-04-01,176.29208374023438,181.4654902272188,174.8899500841224,178.67088751079135,53715400
2020-04-02,179.86993408203125,183.82493724323226,174.99630746560084,175.25739908499568,56465300
2020-04-03,177.31707763671875,180.89495498438234,175.3057352362026,179.42512500802303,47487600
