Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,297.6990051269531,297.71735029463804,295.5547178974124,296.4802539792737,59151200
2020-01-03,295.4446716308594,296.57180846852066,294.2442380396561,294.29921759610926,77709700
2020-01-06,296.57183837890625,296.65430772190325,293.5661398420069,293.68527154806566,55653900
2020-01-07,295.738037109375,296.48028939421766,295.2889999253754,296.00376242060156,40496400
2020-01-08,297.3141174316406,298.53286845352926,295.6829916921281,295.93039974358743,68296000
2020-01-09,299.33013916015625,299.40346390249715,298.2946439048552,298.88112998280087,48473300
2020-01-10,298.46868896484375,300.0723247739728,298.0013626882262,299.91655867016334,53029300
2020-01-13,300.5213623046875,300.5305069215687,298.66114588168574,299.0918377611585,47086800
2020-01-14,300.063232421875,301.1353620319294,299.50423615771473,300.0815496239874,62832800
2020-01-15,300.7412414550781,301.5018106079388,299.88903038899446,299.97149972133946,72056600
2020-01-16,303.24298095703125,303.24298095703125,301.8959256745201,302.1250165187214,54050300
2020-01-17,304.18682861328125,304.3975742884115,303.1788233239939,303.9577377732246,95846000
2020-01-21,303.5912170410156,304.3976213972453,303.1513804577593,303.2246772332371,77742400
2020-01-22,303.6277770996094,305.10313638265757,303.47201101725864,304.45249838050813,48914900
2020-01-23,303.97607421875,304.388448943037,301.85927695982,302.9772414486863,51963000
2020-01-24,301.2727966308594,304.7183320973039,299.9807208309427,304.6358627439296,87578400
2020-01-27,296.4435729980469,297.92807729720744,295.6738310638596,296.0128810624095,84062500
2020-01-28,299.5500793457031,300.4297804795818,296.53523558628365,297.873118472315,63834000
2020-01-29,299.3026123046875,301.1445117064484,299.10101123601123,300.9154208540977,53888900
2020-01-30,300.2739562988281,300.484729951174,296.48022631294674,297.231623057657,75491800
2020-01-31,294.8216247558594,299.80664419353747,293.905261299892,299.65085010133794,113845600
2020-02-03,297.0116882324219,298.88107731999344,296.1869668001725,296.30609851158897,69083000
2020-02-04,301.53863525390625,302.4091919502781,300.3107112583716,300.63144414467706,62573200
2020-02-05,305.0206298828125,305.23140347837,303.0138202780887,304.4799789709227,65951100
2020-02-06,306.0470886230469,306.23951712579645,304.9657584507148,305.98293646706554,50359700
2020-02-07,304.4159240722656,306.056194377022,303.86610045474913,304.98406488979606,64139400
2020-02-10,306.6885070800781,306.7526592320417,303.4904076474018,303.52707001498,42070000
2020-02-11,307.2200012207031,308.8327817820095,306.6884947902929,308.04472268441083,54864500
2020-02-12,309.19927978515625,309.4100254210768,308.29206121099236,308.65860089384944,43992700
2020-02-13,308.8695068359375,309.8408499960324,307.4949614623846,307.7698593510163,54501900
2020-02-14,309.3642578125,309.4833895167541,308.0813547766656,309.2817884707523,64582200
2020-02-18,308.5670471191406,309.4284309226807,307.1741569014039,308.36544605947824,57226200
2020-02-19,310.04248046875,310.7205806350666,309.25442113656584,309.53849163679035,48814700
2020-02-20,308.7686767578125,310.31733323101616,305.7721503679696,309.4925837509388,74163400
2020-02-21,305.5888671875,307.72398153835667,304.7641177810184,307.41242134787745,113788200
2020-02-24,295.45391845703125,305.6621928380794,294.37258832295646,296.11370126545256,161088400
2020-02-25,286.5009765625,297.46067366293727,285.6212756357742,296.8467259201348,218913200
2020-02-26,285.4471740722656,291.5043221918887,284.714094602618,287.90302105729336,194773800
2020-02-27,272.6272888183594,285.50218362591784,272.6272888183594,279.9123611957851,284353500
2020-02-28,271.4817810058594,272.9754575536468,261.6583660060292,264.55407718504784,384975800
2020-03-02,283.2387390136719,283.30289115857585,269.8323389882185,273.2687014842087,238703600
2020-03-03,275.1289978027344,287.5915483325636,272.68232265580184,283.6145336717941,300139100
2020-03-04,286.69354248046875,286.9134887914965,277.9605972724039,280.5172599034387,176613400
2020-03-05,277.1632995605469,282.67065320761304,274.9182257388986,279.4725535047731,186366800
2020-03-06,272.5814208984375,273.7910271727866,265.9561321004398,268.6318972907637,228667200
2020-03-09,251.29429626464844,260.4212661192737,250.57953407058477,252.2747836579763,309417300
2020-03-10,264.2975769042969,264.38919088350326,250.6254209763318,260.83372394140366,276444100
2020-03-11,251.41343688964844,258.3594867875514,248.2245103089877,257.2232051751496,255316300
2020-03-12,227.35894775390625,244.35749341633144,226.9649041793255,234.58905518446738,392220700
2020-03-13,246.7949981689453,248.77434647333422,227.7346366084583,241.08604410630707,329566100
2020-03-16,219.78976440429688,235.41374899779908,217.50801453237176,221.00851540675873,297240000
2020-03-17,231.65667724609375,234.74483150463524,217.24228444804106,224.54568810052052,262070500
2020-03-18,219.92723083496094,227.59718853589922,208.94920047757623,216.49086785316467,327597100
2020-03-19,220.3945770263672,226.69000368455985,212.7979298783139,219.23996406752087,289322000
2020-03-20,210.8968048095703,225.3406531536405,210.62027646951373,223.5524524947323,347158800
2020-03-23,205.50457763671875,211.70796381485764,201.18155909431383,210.33456252313593,326025200
2020-03-24,224.1239776611328,224.99965325237764,215.50560549655268,216.0770871962549,235494500
2020-03-25,227.47918701171875,236.29114860936124,220.990058631863,225.70942472630355,299430300
2020-03-26,240.76161193847656,242.23639250176075,229.56231770960696,229.99554223572162,257632800
2020-03-27,233.59036254882812,240.40210846129074,231.40581506771846,233.4521053910937,224341200
2020-03-30,241.1763916015625,241.89535699591625,233.69177028351132,235.6919703231692,171369500
2020-03-31,237.58154296875,242.72490599332332,236.17126374188032,240.17166345646726,194881100
2020-04-01,226.88922119140625,237.49859440441708,224.8152794471893,228.57602883114748,189554600
2020-04-02,232.12477111816406,232.90825175530057,225.45128263078988,226.00433936920624,177660400
2020-04-03,228.76963806152344,233.49823046553024,226.03203341339525,231.13853345958904,135561200
2020-04-06,244.13519287109375,246.10775542428493,228.7511655917904,237.66450470907907,188061200
2020-04-07,244.3841094970703,253.50944856794666,244.16289802105632,252.75360518538102,201427200
2020-04-08,252.58766174316406,254.4035140373844,244.49468151600078,246.99262118695424,153774500
2020-04-09,256.4314270019531,259.1966831027809,253.91503382352957,255.85991711221806,189999200
2020-04-13,254.09014892578125,255.795395679431,250.17270309182473,255.45435195462855,114839100
2020-04-14,261.5840148925781,262.6071461374814,253.9519092553873,258.9938939542684,134143400
2020-04-15,256.0257873535156,261.7222066904495,253.90574134911725,255.8506522622504,121775000
2020-04-16,257.2610168457031,258.1182395479549,254.18236820594646,257.3070931988661,131798300
2020-04-17,264.21099853515625,264.8193300820858,260.3027510489938,263.04958204992425,146684800
2020-04-20,259.5561218261719,264.3492430998631,259.33491036510924,260.49629866532456,100109300
2020-04-21,251.6751708984375,256.2839308424409,250.73496586689225,255.07643798748308,126385700
2020-04-22,257.2610168457031,259.0123402105221,255.2423774954704,256.5697027704081,92951600
2020-04-23,257.2425231933594,261.7222523215309,256.9383574252864,258.5421968253092,104709700
2020-04-24,260.828125,261.50101398459896,256.7078930598151,258.76340983468236,85063200
2020-04-27,264.5888977050781,265.7134362590303,262.349047118566,262.80992311396216,77896600
2020-04-28,263.3721618652344,268.5984790155817,263.0679680071773,268.2482088176414,105270000
2020-04-29,270.266845703125,271.8061836334451,267.6859518357042,268.7183093826725,118745600
2020-04-30,267.75054931640625,270.3683217990801,266.0084244155675,268.88428635062775,122901700
2020-05-01,260.6622619628906,267.9164458693108,259.49161889294606,262.98506692974644,125180000
2020-05-04,261.3812255859375,261.6853913737779,257.28864438988586,258.7726516314757,80873200
2020-05-05,263.7961730957031,266.6167316014269,261.5102183039644,264.21097269404163,79569900
2020-05-06,262.0079650878906,265.88853252564763,261.57474059035235,265.5014124986934,73632600
2020-05-07,265.1695861816406,267.105270843854,264.6626338763726,265.2341155672962,75250400
2020-05-08,269.5570983886719,270.02720080771184,267.17896299431584,268.31272783391654,76452400
2020-05-11,269.61236572265625,270.9949932391827,267.19738082786404,267.6213787233027,79514200
2020-05-12,264.2386169433594,271.2162571149369,264.1003316612484,270.80148565750676,95870800
2020-05-13,259.56536865234375,264.71795895334134,257.13192987174455,263.6763746932957,144721100
2020-05-14,262.6716613769531,262.80069202601,251.62906259247328,257.1227246154744,121977900
2020-05-15,263.8791198730469,263.92519621393427,259.3256634598591,260.2750667451396,111146300
2020-05-18,271.9168701171875,273.52993629584876,269.79685153423225,270.11944226625104,119703800
2020-05-19,269.12396240234375,273.0321823141548,269.10553748697095,271.3177369063047,95189300
2020-05-20,273.69586181640625,274.562311096224,272.4422923824151,272.6727304221614,85861700
2020-05-21,271.8061828613281,274.37787833131114,270.70929593838184,273.56673222395926,78293900
2020-05-22,272.3224182128906,272.49755334653037,270.2761276095139,271.52049845866605,63958200
2020-05-26,275.6774597167969,278.54412185728233,272.34072338237706,278.30445743670185,88951400
2020-05-27,279.77935791015625,279.81623586309064,273.6404867746573,278.4796843331706,104817400
2020-05-28,279.2632141113281,282.83038997252385,278.5903250016566,280.81175077314896,90405200
2020-05-29,280.5075378417969,281.09744441541864,276.0370356142998,278.79306472388765,119090800
2020-06-01,281.6412658691406,282.2496254643002,279.34611276939205,279.8622915538364,55758300
2020-06-02,283.97332763671875,284.0194321118805,281.22652483586603,282.5630482820904,74267200
2020-06-03,287.75250244140625,288.71113229720396,285.68778717935186,285.9643014985071,92567600
2020-06-04,286.99664306640625,288.50832960554146,284.89504996954486,286.76620510346254,75794400
2020-06-05,294.3522033691406,296.13117751305407,292.3427912854571,292.4073206597043,150524700
2020-06-08,297.9102478027344,298.1038078400363,294.61958652041267,295.1634168068766,73641200
2020-06-09,295.6888732910156,297.9840270903737,294.3707463682276,295.23719561972075,77479200
2020-06-10,294.0389709472656,297.1637246109732,293.3200053096337,296.26962379356524,95000800
2020-06-11,277.0877990722656,287.72482287321475,276.5347704880352,287.08881187171676,209243600
2020-06-12,280.40618896484375,284.89511703902105,275.23517336126014,284.12084867680943,194678900
2020-06-15,283.02398681640625,284.1577520892233,273.52072438648526,274.7005660150119,135782700
2020-06-16,288.4715270996094,290.9418440869541,283.5954787818158,290.7943603765424,137627500
2020-06-17,287.2731628417969,289.7895553253367,286.5357445407584,289.49458800492135,83398900
2020-06-18,287.3838806152344,287.8631816005811,285.29151338751893,285.7523894567671,80828700
2020-06-19,285.7413635253906,291.0554918248627,283.78789416661283,290.86108007701773,135549600
2020-06-22,287.57452392578125,287.97261465069647,283.9916508946989,285.1396439631699,74649400
2020-06-23,288.89837646484375,291.16661737693755,288.4910186826439,290.2315422514218,68471200
2020-06-24,281.5290222167969,287.47272350488674,279.6866728739989,286.85241955719425,132813500
2020-06-25,284.547119140625,284.8156113948789,278.9274573121908,280.95497926839084,89468000
2020-06-26,277.7887268066406,283.658375397714,277.2054913993457,283.4454293499117,127961000
