date,open,high,low,close,volume
2019-02-27,105.15969848632812,105.33782632600104,103.95031888805423,104.709701100158,21487100
2019-02-28,105.0284423828125,105.82531836904346,104.74719582139048,105.03781941396694,29083900
2019-03-01,105.4971923828125,105.95656676708354,104.69093937629165,105.8346939740342,23501200
2019-03-04,105.24407958984375,106.17220547605116,103.8753261877115,105.95657665775063,26608000
2019-03-05,104.71905517578125,105.36593436742999,104.27843488782086,105.2346845535561,19538300
2019-03-06,104.76596069335938,105.61909186020827,104.46596001819302,104.87846362876437,17687000
2019-03-07,103.49095153808594,104.5784584086641,103.00345314434466,104.43783153366452,25339000
2019-03-08,103.60344696044922,103.79094467847403,102.00031786782479,102.33781948233303,22818400
2019-03-11,105.77847290039062,105.89096869092162,104.04409365475703,104.05346353558076,26491600
2019-03-12,106.51907348632812,106.86594495371561,105.60969460222127,105.76906836575492,26132700
2019-03-13,107.34406280517578,107.81281417113725,106.66905969377875,106.99718421943614,35513800
2019-03-14,107.428466796875,108.0003442068541,107.18472116341992,107.38159593778612,30763400
2019-03-15,108.66593933105469,109.92218949201174,107.42842892403023,108.13155593570622,54681100
2019-03-18,110.22221374511719,110.25971471877288,108.79721250909778,108.90970827748548,31207600
2019-03-19,110.29721069335938,111.03783879618774,109.67845538495375,110.7097070797174,37588700
2019-03-20,110.17533874511719,111.32847047060031,109.4159636774695,110.05346594184644,28113300
2019-03-21,112.70660400390625,113.26910433445914,109.77221523934608,109.81909324713372,29854400
2019-03-22,109.73470306396484,112.11595382664103,109.7253260334596,112.0315820098295,33624500
2019-03-25,110.3066177368164,110.63474238998415,109.05035986851293,109.27535860888781,27067100
2019-03-26,110.54095458984375,111.2909525112157,109.54719679397265,111.2065806955,26097700
2019-03-27,109.47222900390625,110.82223569709535,108.30035018067423,110.51285797114274,22733400
2019-03-28,109.6222152709961,110.23159359144769,108.87221008388957,110.10034375659099,18334800
2019-03-29,110.56909942626953,110.92534796980975,109.65034339466183,110.69097223397492,25399800
2019-04-01,111.58158111572266,111.66596008782498,110.71908024855877,111.51595620523364,22789100
2019-04-02,111.74097442626953,112.01285112919574,111.11284203895333,111.61909446999734,18142300
2019-04-03,112.47222137451172,112.90347183991517,111.70346930095263,112.36909548576531,22860700
2019-04-04,111.90036010742188,112.71599030295768,110.98160400833854,112.59411033372132,20112800
2019-04-05,112.39720153808594,112.71595618508944,111.90970326644185,111.92845017387586,15826200
2019-04-08,112.4347152709961,112.51908709289567,111.22533575571578,112.32221235588432,15116200
2019-04-09,111.82534790039062,112.06910066394165,111.1690987130375,111.2159695678029,17612000
2019-04-10,112.67845916748047,112.82845588994503,112.06908094213055,112.27533269402547,16477200
2019-04-11,112.80970764160156,113.29720592454264,112.42532808080438,113.00658236082266,14209100
2019-04-12,113.39098358154297,113.41911467936121,112.84723728425301,113.1003599439759,19745100
2019-04-15,113.4847183227539,113.98159366900393,113.03471382558513,113.38159244116478,15792600
2019-04-16,113.22222900390625,114.04723618396625,112.59410373914596,114.03785915167104,14071800
