veg_fast_band_width,veg_slow_band_width,veg_price_position,veg_filter_slope,veg_signal,hull_value,hull_slope,hull_signal,macd_line,signal_line,macd_hist,macd_bullish,macd_crossover,rsi,rsi_overbought,stoch_k,stoch_d,stoch_bullish,volume_ratio,atr_pct,bb_width,spy_return_15d,relative_strength,day_of_week,month,quarter,return_1d,return_3d,return_5d,return_10d,return_20d,target_15d,target_max_drawdown,target_success
-0.008500040299423322,0.018900820114273853,1.882046707370389,-0.003210933957870964,0,310.91854546698386,-0.008117620611187482,-1,-4.086168113513452,-0.8996420742752991,-3.186526039238153,0,0,40.59438143842646,0,20.44435939619395,10.390819266784057,1,1.0119622581818106,0.023181385099640284,0.17762726266685544,-7.428463386263129,0.7714942375864756,2,9,3,2.0201567477346805,-0.14362195758093055,-0.6810073992757792,-4.816941043537959,-5.711491660977963,-6.1969193375852605,-11.54564705702815,0
-0.00852054179399748,0.01882398990212782,1.7473771723223783,-0.0019422239194545102,0,308.4815887898618,-0.007837926404363786,-1,-4.083319447530869,-1.536377548926413,-2.5469418986044556,0,0,42.34349235212991,0,26.8279763468969,17.549020392392176,1,1.1383211410825769,0.02294047229769659,0.17747022831366555,-6.15724345819716,0.7704578073570137,3,9,3,0.5184422023347901,1.8124879044690179,0.4176780847229944,-4.599867704234684,-7.79616800614602,-9.370907461219534,-12.35162452495953,0
-0.008495672505566636,0.018757188810592962,1.104087790882086,0.0016807938120757854,0,306.3499731189269,-0.0069100255846611894,-1,-3.5218830637674614,-1.9334786518946228,-1.5884044118728387,0,0,49.174639666666685,0,52.937516170181794,33.403283971090865,1,1.1361609960204648,0.02249292730505749,0.17131472916232077,-4.975600052209694,0.775258100753669,4,9,3,2.186217022345227,4.7910175699778845,2.568470775750309,-4.207994310409657,-5.242555279045213,-12.81372511470088,-13.837818984430438,0
-0.008445876625293088,0.018696033734869305,0.7384916903167484,0.0032652614019812233,0,304.5965301001481,-0.005723659776846645,-1,-2.757062145584541,-2.0981953506326065,-0.6588667949519347,0,0,52.53890245252149,0,64.84992826297879,48.20514026001914,1,0.9246261419175251,0.021558115146651284,0.160699882918816,-2.64603491896116,0.776130819313199,0,9,3,1.1885653980189925,3.9368402532876434,5.274893435135031,1.0733854872144732,-5.94754397806545,-11.816434683466326,-13.837818984430438,0
-0.008509088548103328,0.01860980876090576,2.494162048688931,-0.005833498815527624,0,302.7365744318215,-0.0061062930287322376,-1,-3.4560819742308695,-2.369772675352259,-1.0863092988786103,0,0,39.420173565851584,0,9.23661048762266,42.34135164026107,0,1.5385448390460899,0.02554514007894197,0.16343540605359033,-4.899000725858804,0.7669180258102316,1,9,3,-5.483662784416865,-2.269382341524695,0.221841757138308,-3.518295153244577,-11.817688000327475,-3.766754266508887,-9.55634395515846,0
-0.008554055993026801,0.018527389539709727,2.2838437257754713,-0.003783917436098571,0,300.8748574607291,-0.006149626864829522,-1,-3.782551887148145,-2.6523285177114366,-1.1302233694367083,0,0,41.56859148412095,0,16.840849714877848,30.309129488493085,0,1.0478744249970586,0.024467576688535574,0.1501227895592675,-4.304594461644939,0.7700635904707461,2,9,3,0.7933061540128516,-3.6015584751764473,-0.9833830727713044,-1.657693560558282,-10.909476716400812,-4.574967155676301,-9.55634395515846,0
-0.008629500045601727,0.01843797475164223,2.8667909911272,-0.005722505487437678,0,298.88958741639357,-0.006598324835416573,-1,-4.379921483913336,-2.9978471109518168,-1.3820743729615188,0,0,38.4605303075844,0,5.117057097270271,10.398172433256912,0,1.225784779311191,0.024839469228477476,0.1451865117970842,-5.69295268683585,0.765935152109119,3,9,3,-1.6653594980641229,-6.32038259457336,-3.1345570431972725,-2.729971316296853,-11.382382374871892,-3.7228365217929937,-8.173856938564677,0
-0.008713780749354302,0.01834627976625955,3.1343190106900702,-0.005780944057090749,0,296.75529734359145,-0.007140730767006487,-1,-4.936930044974815,-3.3856636977564163,-1.551266347218399,0,0,37.37396213909722,0,14.532662743763089,12.163523185303722,1,1.4486031661934835,0.02456005943502041,0.13353028283079868,-7.715234014993944,0.7671038000135825,4,9,3,-0.6114773401855622,-1.4913288903146582,-5.78657716470774,-3.3667329323491924,-12.1355596254478,-6.821646678440563,-8.173856938564677,0
-0.008779772460844397,0.01825831524177469,2.9368871898421864,-0.0037602377723830846,0,294.5762541196423,-0.007342895791431225,-1,-5.141257859285247,-3.7367825300621824,-1.4044753292230645,0,0,39.696313960075095,0,23.382237435424134,14.34398575881915,1,0.9529271505306964,0.023898341298505616,0.12259179392708133,-3.741306675741385,0.7671286095288377,0,9,3,0.7787568746033147,-1.5055483879670817,-6.168136716878491,-1.2186059204922328,-9.690550204905158,-8.46590115714524,-8.465901157145234,0
-0.008858463402564139,0.01816725000450773,3.292483577296087,-0.004394619692657885,0,292.34196888652275,-0.007584743175572006,-1,-5.424113192591221,-4.074248662567991,-1.3498645300232308,0,0,38.125722761951465,0,14.253521089245526,17.389473756144238,0,0.9284637387637609,0.023529882349435104,0.12301295746650955,-4.2128513161829755,0.7698504946836557,1,9,3,-0.7971135836299492,-0.6358914210013222,-1.5155268418805101,-1.2970471561181252,-7.987973682630467,-8.998022725497956,-8.998022725497954,0
